code,inspectionSpecialtyCode,sourceProjectNo,sourceProjectName,name,isOptionalForQualification,isOfficial,enabled
OBJ-SP01-P1,SP01,1,水泥,水泥,false,true,true
OBJ-SP01-P2,SP01,2,钢筋（含焊接与机械连接）,钢筋（含焊接与机械连接）,false,true,true
OBJ-SP01-P3-细骨料,SP01,3,骨料、集料,细骨料,false,true,true
OBJ-SP01-P3-粗骨料,SP01,3,骨料、集料,粗骨料,false,true,true
OBJ-SP01-P3-轻集料,SP01,3,骨料、集料,轻集料,false,true,true
OBJ-SP01-P4,SP01,4,砖、砌块、瓦、墙板,砖、砌块、瓦、墙板,false,true,true
OBJ-SP01-P5,SP01,5,混凝土及拌合用水,混凝土及拌合用水,false,true,true
OBJ-SP01-P6,SP01,6,混凝土外加剂,混凝土外加剂,false,true,true
OBJ-SP01-P7,SP01,7,混凝土掺合料,混凝土掺合料,false,true,true
OBJ-SP01-P8,SP01,8,砂浆,砂浆,false,true,true
OBJ-SP01-P9,SP01,9,土,土,false,true,true
OBJ-SP01-P10-防水卷材,SP01,10,防水材料及防水密封材料,防水卷材,false,true,true
OBJ-SP01-P10-防水涂料,SP01,10,防水材料及防水密封材料,防水涂料,false,true,true
OBJ-SP01-P10-防水密封材料及其他防水材料,SP01,10,防水材料及防水密封材料,防水密封材料及其他防水材料,false,true,true
OBJ-SP01-P11,SP01,11,瓷砖及石材,瓷砖及石材,false,true,true
OBJ-SP01-P12-塑料管材,SP01,12,塑料及金属管材,塑料管材,true,true,true
OBJ-SP01-P12-金属管材,SP01,12,塑料及金属管材,金属管材,true,true,true
OBJ-SP01-P13,SP01,13,预制混凝土构件,预制混凝土构件,true,true,true
OBJ-SP01-P14,SP01,14,预应力钢绞线,预应力钢绞线,true,true,true
OBJ-SP01-P15,SP01,15,预应力混凝土用锚具夹具及连接器,预应力混凝土用锚具夹具及连接器,true,true,true
OBJ-SP01-P16-金属波纹管,SP01,16,预应力混凝土用波纹管,金属波纹管,true,true,true
OBJ-SP01-P16-塑料波纹管,SP01,16,预应力混凝土用波纹管,塑料波纹管,true,true,true
OBJ-SP01-P17,SP01,17,材料中有害物质,材料中有害物质,true,true,true
OBJ-SP01-P18-位移相关型阻尼器,SP01,18,建筑消能减震装置,位移相关型阻尼器,true,true,true
OBJ-SP01-P18-速度相关型阻尼器,SP01,18,建筑消能减震装置,速度相关型阻尼器,true,true,true
OBJ-SP01-P19-叠层橡胶隔震支座,SP01,19,建筑隔震装置,叠层橡胶隔震支座,true,true,true
OBJ-SP01-P19-建筑摩擦摆隔震支座,SP01,19,建筑隔震装置,建筑摩擦摆隔震支座,true,true,true
OBJ-SP01-P20,SP01,20,铝塑复合板,铝塑复合板,true,true,true
OBJ-SP01-P21,SP01,21,木材料及构配件,木材料及构配件,true,true,true
OBJ-SP01-P22,SP01,22,加固材料,加固材料,true,true,true
OBJ-SP01-P23,SP01,23,焊接材料,焊接材料,true,true,true
OBJ-SP02-P1,SP02,1,混凝土结构构件强度、砌体结构构件强度,混凝土结构构件强度、砌体结构构件强度,false,true,true
OBJ-SP02-P2,SP02,2,钢筋及保护层厚度,钢筋及保护层厚度,false,true,true
OBJ-SP02-P3,SP02,3,植筋锚固力,植筋锚固力,false,true,true
OBJ-SP02-P4,SP02,4,构件位置和尺寸（涵盖砌体、混凝土、木结构）,构件位置和尺寸（涵盖砌体、混凝土、木结构）,true,true,true
OBJ-SP02-P5,SP02,5,外观质量及内部缺陷,外观质量及内部缺陷,true,true,true
OBJ-SP02-P6,SP02,6,装配式混凝土结构节点,装配式混凝土结构节点,true,true,true
OBJ-SP02-P7,SP02,7,结构构件性能（涵盖砌体、混凝土、木结构）,结构构件性能（涵盖砌体、混凝土、木结构）,true,true,true
OBJ-SP02-P8,SP02,8,装饰装修工程,装饰装修工程,true,true,true
OBJ-SP02-P9,SP02,9,室内环境污染物,室内环境污染物,true,true,true
OBJ-SP03-P1,SP03,1,钢材及焊接材料,钢材及焊接材料,false,true,true
OBJ-SP03-P2,SP03,2,焊缝,焊缝,false,true,true
OBJ-SP03-P3,SP03,3,钢结构防腐及防火涂装,钢结构防腐及防火涂装,false,true,true
OBJ-SP03-P4,SP03,4,高强度螺栓及普通紧固件,高强度螺栓及普通紧固件,false,true,true
OBJ-SP03-P5,SP03,5,构件位置与尺寸,构件位置与尺寸,true,true,true
OBJ-SP03-P6,SP03,6,结构构件性能,结构构件性能,true,true,true
OBJ-SP03-P7,SP03,7,金属屋面,金属屋面,true,true,true
OBJ-SP04-P1,SP04,1,地基及复合地基,地基及复合地基,false,true,true
OBJ-SP04-P2,SP04,2,桩的承载力,桩的承载力,false,true,true
OBJ-SP04-P3,SP04,3,桩身完整性,桩身完整性,false,true,true
OBJ-SP04-P4,SP04,4,锚杆抗拔承载力,锚杆抗拔承载力,false,true,true
OBJ-SP04-P5,SP04,5,地下连续墙,地下连续墙,true,true,true
OBJ-SP05-P1,SP05,1,保温、绝热材料,保温、绝热材料,false,true,true
OBJ-SP05-P2,SP05,2,粘接材料,粘接材料,false,true,true
OBJ-SP05-P3,SP05,3,增强加固材料,增强加固材料,false,true,true
OBJ-SP05-P4,SP05,4,保温砂浆,保温砂浆,false,true,true
OBJ-SP05-P5,SP05,5,抹面材料,抹面材料,false,true,true
OBJ-SP05-P6,SP05,6,隔热型材,隔热型材,false,true,true
OBJ-SP05-P7,SP05,7,建筑外窗,建筑外窗,false,true,true
OBJ-SP05-P8,SP05,8,节能工程,节能工程,false,true,true
OBJ-SP05-P9,SP05,9,电线电缆,电线电缆,false,true,true
OBJ-SP05-P10,SP05,10,反射隔热材料,反射隔热材料,true,true,true
OBJ-SP05-P11-风机盘管机组,SP05,11,供暖通风空调节能工程用材料、构件和设备,风机盘管机组,true,true,true
OBJ-SP05-P11-采暖散热器,SP05,11,供暖通风空调节能工程用材料、构件和设备,采暖散热器,true,true,true
OBJ-SP05-P11-绝热材料,SP05,11,供暖通风空调节能工程用材料、构件和设备,绝热材料,true,true,true
OBJ-SP05-P12-照明光源,SP05,12,配电与照明节能工程用材料、构件和设备,照明光源,true,true,true
OBJ-SP05-P12-灯具,SP05,12,配电与照明节能工程用材料、构件和设备,灯具,true,true,true
OBJ-SP05-P12-设备,SP05,12,配电与照明节能工程用材料、构件和设备,设备,true,true,true
OBJ-SP05-P13-太阳能集热器,SP05,13,可再生能源应用系统,太阳能集热器,true,true,true
OBJ-SP05-P13-太阳能热利用系统的太阳能集热系统,SP05,13,可再生能源应用系统,太阳能热利用系统的太阳能集热系统,true,true,true
OBJ-SP05-P13-太阳能光伏组件,SP05,13,可再生能源应用系统,太阳能光伏组件,true,true,true
OBJ-SP05-P13-太阳能光伏发电系统,SP05,13,可再生能源应用系统,太阳能光伏发电系统,true,true,true
OBJ-SP06-P1,SP06,1,密封胶,密封胶,false,true,true
OBJ-SP06-P2,SP06,2,幕墙玻璃,幕墙玻璃,false,true,true
OBJ-SP06-P3,SP06,3,幕墙,幕墙,false,true,true
OBJ-SP07-P1,SP07,1,土、无机结合稳定材料,土、无机结合稳定材料,false,true,true
OBJ-SP07-P2,SP07,2,土工合成材料,土工合成材料,false,true,true
OBJ-SP07-P3,SP07,3,掺合料（粉煤灰、钢渣）,掺合料（粉煤灰、钢渣）,false,true,true
OBJ-SP07-P4,SP07,4,沥青及乳化沥青,沥青及乳化沥青,false,true,true
OBJ-SP07-P5-粗集料,SP07,5,沥青混合料用粗集料、细集料、矿粉、木质素纤维,粗集料,false,true,true
OBJ-SP07-P5-细集料,SP07,5,沥青混合料用粗集料、细集料、矿粉、木质素纤维,细集料,false,true,true
OBJ-SP07-P5-矿粉,SP07,5,沥青混合料用粗集料、细集料、矿粉、木质素纤维,矿粉,false,true,true
OBJ-SP07-P5-木质素纤维,SP07,5,沥青混合料用粗集料、细集料、矿粉、木质素纤维,木质素纤维,false,true,true
OBJ-SP07-P6,SP07,6,沥青混合料,沥青混合料,false,true,true
OBJ-SP07-P7,SP07,7,路面砖及路缘石,路面砖及路缘石,false,true,true
OBJ-SP07-P8,SP07,8,检查井盖、水篦、混凝土模块、防撞墩、隔离墩,检查井盖、水篦、混凝土模块、防撞墩、隔离墩,false,true,true
OBJ-SP07-P9,SP07,9,水泥,水泥,false,true,true
OBJ-SP07-P10,SP07,10,骨料、集料,骨料、集料,false,true,true
OBJ-SP07-P11,SP07,11,钢筋（含焊接与机械连接）,钢筋（含焊接与机械连接）,false,true,true
OBJ-SP07-P12,SP07,12,外加剂,外加剂,false,true,true
OBJ-SP07-P13,SP07,13,砂浆,砂浆,false,true,true
OBJ-SP07-P14,SP07,14,混凝土,混凝土,false,true,true
OBJ-SP07-P15,SP07,15,防水材料及防水密封材料,防水材料及防水密封材料,false,true,true
OBJ-SP07-P16,SP07,16,水,水,false,true,true
OBJ-SP07-P17,SP07,17,石灰,石灰,true,true,true
OBJ-SP07-P18,SP07,18,石材,石材,true,true,true
OBJ-SP07-P19,SP07,19,螺栓、锚具夹具及连接器,螺栓、锚具夹具及连接器,true,true,true
OBJ-SP08-P1,SP08,1,沥青混合料路面,沥青混合料路面,false,true,true
OBJ-SP08-P2,SP08,2,基层及底基层,基层及底基层,false,true,true
OBJ-SP08-P3,SP08,3,土路基,土路基,false,true,true
OBJ-SP08-P4,SP08,4,排水管道工程,排水管道工程,true,true,true
OBJ-SP08-P5,SP08,5,水泥混凝土路面,水泥混凝土路面,true,true,true
OBJ-SP09-P1,SP09,1,桥梁结构与构件,桥梁结构与构件,false,true,true
OBJ-SP09-P2,SP09,2,隧道主体结构,隧道主体结构,false,true,true
OBJ-SP09-P3,SP09,3,桥梁及附属物,桥梁及附属物,true,true,true
OBJ-SP09-P4,SP09,4,桥梁支座,桥梁支座,true,true,true
OBJ-SP09-P5,SP09,5,桥梁伸缩装置,桥梁伸缩装置,true,true,true
OBJ-SP09-P6,SP09,6,隧道环境,隧道环境,true,true,true
OBJ-SP09-P7,SP09,7,人行天桥及地下通道,人行天桥及地下通道,true,true,true
OBJ-SP09-P8,SP09,8,综合管廊主体结构,综合管廊主体结构,true,true,true
OBJ-SP09-P9,SP09,9,涵洞主体结构,涵洞主体结构,true,true,true
